_id,name,Serial_number,asset_type,category,status,Office,assignment_status,Sticker_seq,description,Invoice_id,Issued_by,Issued_to,Issued_date,date_of_purchase,vendor_name,vendor_email,vendor_phone,vendor_city,vendor_address,brand,voucher_number,grouping,qty,price,warranty_date,insurance_date,createdAt,updatedAt,__v
"""680560b2f5d793fcc38589ae""","Macbook-Pro","2345","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589b3""","Macbook-Pro","5678","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589ad""","Macbook-Pro","1234","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589b2""","Macbook-Pro","7890","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589b1""","Macbook-Pro","6788","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589b0""","Macbook-Pro","4566","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
"""680560b2f5d793fcc38589af""","Macbook-Pro","4567","physical","""68054f97de804ee4c88ac3d0""","Unavailable","Bhopal_HQ","true","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""","""680521b764de578e8f60e271""","""2025-04-20T21:05:00.216Z""","""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-23T00:00:00.000Z""","""2025-05-20T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:05:00.216Z""","0"
"""680560b2f5d793fcc38589b6""","Macbook-Pro","4433","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-04-24T00:00:00.000Z""","""2025-04-23T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:04:34.247Z""","0"
"""680560b2f5d793fcc38589b5""","Macbook-Pro","5644","physical","""68054f97de804ee4c88ac3d0""","Maintenance","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:02:16.965Z""","0"
"""680560b2f5d793fcc38589b4""","Macbook-Pro","1256","physical","""68054f97de804ee4c88ac3d0""","Available","Bhopal_HQ","false","EKL/CENT/CAT/04/25/1754","ve n 343r43",,"""68051ee7142ef33c18fd78f2""",,,"""2025-04-21T00:00:00.000Z""","Nidhish","shop@gmaiul.com","6969696969","Indore","Poha Nagar","Apple","345678","Grouped","1","89000","""2025-05-10T00:00:00.000Z""","""2025-05-10T00:00:00.000Z""","""2025-04-20T21:01:38.638Z""","""2025-04-20T21:01:38.638Z""","0"
